playerID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PPG,RPG,ORPG,DRPG,APG,SPG,BPG,MPG,TPG,FG%,FT%,3PT%,postPPG,postRPG,postORPG,postDRPG,postAPG,postSPG,postBPG,postMPG,postTPG,postFG%,postFT%,post3PT%
switzwa01,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0000000,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
sydnobu01,15,0,0,15,0,0,0,0,0,0,0,6,26,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000,0,0,0,0,0,0,0,0,0.192307692,0.5,,,,,,,,,,,,,
sykesla01,1,0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000000,2,1,1,0,0,0,2,1,,,,,,,,,,,,,,,
synnobo01,59,0,0,139,0,0,0,0,0,0,0,0,0,62,6,15,0,0,6,0,0,19,0,0,0,0,0,0,0,0,0,7,0,5,0,0,2.3559322,0,0,0,0,0,0,0,0,,2.5,,3.166666667,0,0,0,0,0,0,0,0,,,
sypa01,3,0,21,7,2,1,3,2,1,0,3,1,6,2,3,3,1,0,4,0,11,6,1,0,1,3,1,0,1,1,3,2,4,2,0,0,2.3333333,1,0.666666667,0.333333333,0.666666667,0.333333333,0,7,1,0.333333333,1,0,1.5,0.25,0.25,0,0.75,0.25,0,2.75,0.25,0.666666667,0.5,
szabobr01,70,0,662,153,56,109,165,17,16,32,41,119,121,54,61,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1857143,2.357142857,0.8,1.557142857,0.242857143,0.228571429,0.457142857,9.457142857,0.585714286,0.446280992,0.737704918,0,,,,,,,,,,,,
szczewa01,53,0,598,333,82,68,150,41,0,0,50,100,237,149,53,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2830189,2.830188679,1.547169811,1.283018868,0.773584906,0,0,11.28301887,0.943396226,0.628691983,0.660377358,0,,,,,,,,,,,,
szczewa02,650,0,20043,9189,670,1931,2601,1531,388,160,968,1379,7184,3484,1899,1633,1447,588,54,0,1446,552,42,125,167,77,26,9,82,122,445,190,153,135,130,37,14.1369231,4.001538462,1.030769231,2.970769231,2.355384615,0.596923077,0.246153846,30.83538462,1.489230769,0.484966592,0.859926277,0.406357982,10.22222222,3.092592593,0.777777778,2.314814815,1.425925926,0.481481481,0.166666667,26.77777778,1.518518519,0.426966292,0.882352941,0.284615385
szukast01,93,0,0,421,0,0,0,0,0,0,0,157,0,181,101,59,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,2,5,4,0,0,4.5268817,0,0,0,0,0,0,0,0,,0.584158416,,1.142857143,0,0,0,0,0,0,0,0,,0.8,
tabakza01,247,0,3607,1233,325,558,883,165,65,126,269,577,1062,537,303,159,3,0,20,0,88,19,8,12,20,1,1,5,3,17,17,6,8,7,0,0,4.9919028,3.574898785,1.315789474,2.259109312,0.668016194,0.263157895,0.510121457,14.60323887,1.089068826,0.505649718,0.524752475,0,0.95,1,0.4,0.6,0.05,0.05,0.25,4.4,0.15,0.352941176,0.875,
tabusyu01,4,0,17,7,2,2,4,3,0,0,1,1,6,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7500000,1,0.5,0.5,0.75,0,0,4.25,0.25,0.166666667,1,1,,,,,,,,,,,,
taftch01,17,0,144,47,19,17,36,2,2,7,2,25,38,23,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7647059,2.117647059,1.117647059,1,0.117647059,0.117647059,0.411764706,8.470588235,0.117647059,0.605263158,0.166666667,,,,,,,,,,,,,
tamagch01,28,0,0,53,0,0,0,0,0,0,0,0,0,23,0,7,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1.8928571,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,,,
tanensi01,70,0,0,633,0,0,0,162,0,0,0,107,861,236,194,161,0,0,6,0,0,47,0,0,0,14,0,0,0,13,62,17,16,13,0,0,9.0428571,0,0,0,2.314285714,0,0,0,0,0.274099884,0.829896907,,7.833333333,0,0,0,2.333333333,0,0,0,0,0.274193548,0.8125,
